,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,70030,L,1981,15,1753129107130,29.81213,-90.451,Entergy,2025-07-21 20:19:59.458927
1,70037,L,7814,368,1753129107130,29.82797,-90.00612,Entergy,2025-07-21 20:19:59.458927
2,70041,L,1510,6,1753129107130,29.34413,-89.50051,Entergy,2025-07-21 20:19:59.458927
3,70043,L,11196,1,1753129107130,29.94597,-89.96388,Entergy,2025-07-21 20:19:59.458927
4,70070,L,5767,1,1753129107130,29.92437,-90.36795,Entergy,2025-07-21 20:19:59.458927
5,70072,L,24129,1,1753129107130,29.87145,-90.10998,Entergy,2025-07-21 20:19:59.458927
6,70080,L,667,2,1753129107130,29.87561,-90.4352,Entergy,2025-07-21 20:19:59.458927
7,70112,L,2072,3,1753129107130,29.95373,-90.07588,Entergy,2025-07-21 20:19:59.458927
8,70129,L,4373,5,1753129107130,30.04602,-89.89063,Entergy,2025-07-21 20:19:59.458927
9,70346,L,5057,1,1753129107130,30.10494,-91.00106,Entergy,2025-07-21 20:19:59.458927
10,70358,L,2717,10,1753129107130,29.21972,-90.01997,Entergy,2025-07-21 20:19:59.458927
11,70363,L,5671,27,1753129107130,29.57521,-90.69594,Entergy,2025-07-21 20:19:59.458927
12,70395,L,2186,1,1753129107130,29.71902,-90.82822,Entergy,2025-07-21 20:19:59.458927
13,70466,L,4212,5,1753129107130,30.55921,-90.51174,Entergy,2025-07-21 20:19:59.458927
14,70560,L,5276,1,1753129107130,29.98533,-91.84989,Entergy,2025-07-21 20:19:59.458927
15,70607,L,13590,1,1753129107130,30.1368,-93.19844,Entergy,2025-07-21 20:19:59.458927
16,70615,L,6079,48,1753129107130,30.24389,-93.15242,Entergy,2025-07-21 20:19:59.458927
17,70663,L,12212,222,1753129107130,30.23981,-93.36406,Entergy,2025-07-21 20:19:59.458927
18,70726,L,9531,2,1753129107130,30.4576,-90.9267,Entergy,2025-07-21 20:19:59.458927
19,70737,L,20604,71,1753129107130,30.23743,-90.92211,Entergy,2025-07-21 20:19:59.458927
20,70739,L,1089,1,1753129107130,30.54918,-90.99372,Entergy,2025-07-21 20:19:59.458927
21,70774,L,1056,3,1753129107130,30.23919,-90.83908,Entergy,2025-07-21 20:19:59.458927
22,70776,L,2395,1,1753129107130,30.28348,-91.11075,Entergy,2025-07-21 20:19:59.458927
23,70788,L,1952,1,1753129107130,30.15963,-91.16315,Entergy,2025-07-21 20:19:59.458927
24,70791,L,6469,1,1753129107130,30.65331,-91.14963,Entergy,2025-07-21 20:19:59.458927
25,70802,L,12446,14,1753129107130,30.44612,-91.1716,Entergy,2025-07-21 20:19:59.458927
26,70805,L,10904,55,1753129107130,30.49101,-91.14945,Entergy,2025-07-21 20:19:59.458927
27,70807,L,6578,1,1753129107130,30.53502,-91.17433,Entergy,2025-07-21 20:19:59.458927
28,70808,L,18107,36,1753129107130,30.40982,-91.14754,Entergy,2025-07-21 20:19:59.458927
29,70810,L,22276,1,1753129107130,30.36238,-91.08926,Entergy,2025-07-21 20:19:59.458927
30,70815,L,12822,1,1753129107130,30.45703,-91.06799,Entergy,2025-07-21 20:19:59.458927
31,71220,L,9089,1,1753129107130,32.79517,-91.90548,Entergy,2025-07-21 20:19:59.458927
32,71225,L,4344,1,1753129107130,32.51103,-92.35059,Entergy,2025-07-21 20:19:59.458927
33,71230,L,207,1,1753129107130,32.24811,-91.58438,Entergy,2025-07-21 20:19:59.458927
34,71342,L,2743,1,1753129107130,31.67329,-92.12486,Entergy,2025-07-21 20:19:59.458927
35,71415,L,302,3,1753129107130,32.02521,-92.13664,Entergy,2025-07-21 20:19:59.458927
36,71435,L,1823,1,1753129107130,32.02729,-92.14029,Entergy,2025-07-21 20:19:59.458927
37,OTHER,L,2,2,1753129107130,,,Entergy,2025-07-21 20:19:59.458927
