,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,70070,L,5753,1,1752921927309,29.92437,-90.36795,Entergy,2025-07-19 10:45:59.079529
1,70118,L,16609,1,1752921927309,29.94923,-90.12312,Entergy,2025-07-19 10:45:59.079529
2,70127,L,10624,1,1752921927309,30.03172,-89.9806,Entergy,2025-07-19 10:45:59.079529
3,70346,L,5054,1,1752921927309,30.10494,-91.00106,Entergy,2025-07-19 10:45:59.079529
4,70360,L,3453,1,1752921927309,29.5971,-90.74454,Entergy,2025-07-19 10:45:59.079529
5,70560,L,5282,1,1752921927309,29.98533,-91.84989,Entergy,2025-07-19 10:45:59.079529
6,70808,L,18087,1,1752921927309,30.40982,-91.14754,Entergy,2025-07-19 10:45:59.079529
7,70810,L,22165,7,1752921927309,30.36238,-91.08926,Entergy,2025-07-19 10:45:59.079529
8,70816,L,17016,2,1752921927309,30.42356,-91.03448,Entergy,2025-07-19 10:45:59.079529
9,71220,L,9084,1,1752921927309,32.79517,-91.90548,Entergy,2025-07-19 10:45:59.079529
10,71373,L,1182,1,1752921927309,31.56768,-91.4838,Entergy,2025-07-19 10:45:59.079529
