,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,70003,L,17838,1,1752874227103,30.00099,-90.21825,Entergy,2025-07-18 21:31:04.129884
1,70058,L,18644,1,1752874227103,29.87429,-90.06389,Entergy,2025-07-18 21:31:04.129884
2,70065,L,22310,19,1752874227103,30.02063,-90.25046,Entergy,2025-07-18 21:31:04.129884
3,70067,L,1428,20,1752874227103,29.72548,-90.1195,Entergy,2025-07-18 21:31:04.129884
4,70068,L,14465,1,1752874227103,30.06929,-90.4891,Entergy,2025-07-18 21:31:04.129884
5,70070,L,5753,1,1752874227103,29.92437,-90.36795,Entergy,2025-07-18 21:31:04.129884
6,70072,L,24101,3,1752874227103,29.87145,-90.10998,Entergy,2025-07-18 21:31:04.129884
7,70084,L,3149,97,1752874227103,30.05773,-90.55943,Entergy,2025-07-18 21:31:04.129884
8,70126,L,13065,1,1752874227103,30.01438,-90.02125,Entergy,2025-07-18 21:31:04.129884
9,70131,L,11551,1,1752874227103,29.91693,-89.98767,Entergy,2025-07-18 21:31:04.129884
10,70346,L,5054,1,1752874227103,30.10494,-91.00106,Entergy,2025-07-18 21:31:04.129884
11,70364,L,7287,1,1752874227103,29.63729,-90.707,Entergy,2025-07-18 21:31:04.129884
12,70395,L,2186,1,1752874227103,29.71902,-90.82822,Entergy,2025-07-18 21:31:04.129884
13,70427,L,7612,3,1752874227103,30.76404,-89.88218,Entergy,2025-07-18 21:31:04.129884
14,70510,L,2267,1,1752874227103,29.96337,-92.13529,Entergy,2025-07-18 21:31:04.129884
15,70516,L,296,1,1752874227103,30.37811,-92.31876,Entergy,2025-07-18 21:31:04.129884
16,70560,L,5282,1,1752874227103,29.98533,-91.84989,Entergy,2025-07-18 21:31:04.129884
17,70714,L,4974,5,1752874227103,30.58196,-91.141,Entergy,2025-07-18 21:31:04.129884
18,70748,L,1718,1,1752874227103,30.83394,-91.19986,Entergy,2025-07-18 21:31:04.129884
19,70805,L,10882,5,1752874227103,30.49101,-91.14945,Entergy,2025-07-18 21:31:04.129884
20,70806,L,15743,6,1752874227103,30.44784,-91.12812,Entergy,2025-07-18 21:31:04.129884
21,70810,L,22165,4,1752874227103,30.36238,-91.08926,Entergy,2025-07-18 21:31:04.129884
22,70815,L,12793,6,1752874227103,30.45703,-91.06799,Entergy,2025-07-18 21:31:04.129884
23,70816,L,17016,15,1752874227103,30.42356,-91.03448,Entergy,2025-07-18 21:31:04.129884
24,71018,L,830,39,1752874227103,32.81184,-93.42929,Entergy,2025-07-18 21:31:04.129884
25,71040,L,2011,211,1752874227103,32.79265,-93.04299,Entergy,2025-07-18 21:31:04.129884
26,71072,L,443,2,1752874227103,32.94132,-93.29916,Entergy,2025-07-18 21:31:04.129884
27,71235,L,2039,2,1752874227103,32.70061,-92.65658,Entergy,2025-07-18 21:31:04.129884
28,71256,L,66,29,1752874227103,32.98031,-92.70518,Entergy,2025-07-18 21:31:04.129884
29,71291,L,19056,1,1752874227103,32.52286,-92.17265,Entergy,2025-07-18 21:31:04.129884
30,71295,L,4624,5,1752874227103,32.1615,-91.70429,Entergy,2025-07-18 21:31:04.129884
31,71373,L,1182,1,1752874227103,31.56768,-91.4838,Entergy,2025-07-18 21:31:04.129884
32,71418,L,4387,5,1752874227103,32.1351,-92.07445,Entergy,2025-07-18 21:31:04.129884
33,71435,L,1823,1,1752874227103,32.02729,-92.14029,Entergy,2025-07-18 21:31:04.129884
34,71479,L,537,1,1752874227103,31.8183,-92.33058,Entergy,2025-07-18 21:31:04.129884
35,OTHER,L,1,1,1752874227103,,,Entergy,2025-07-18 21:31:04.129884
