,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,70030,L,1979,1,1752975687309,29.81213,-90.451,Entergy,2025-07-20 01:42:21.061198
1,70070,L,5753,1,1752975687309,29.92437,-90.36795,Entergy,2025-07-20 01:42:21.061198
2,70094,L,14325,1,1752975687309,29.92925,-90.17907,Entergy,2025-07-20 01:42:21.061198
3,70123,L,16688,1,1752975687309,29.9591,-90.20393,Entergy,2025-07-20 01:42:21.061198
4,70130,L,10336,1,1752975687309,29.94423,-90.07154,Entergy,2025-07-20 01:42:21.061198
5,70131,L,11551,88,1752975687309,29.91693,-89.98767,Entergy,2025-07-20 01:42:21.061198
6,70301,L,23136,1,1752975687309,29.79502,-90.81192,Entergy,2025-07-20 01:42:21.061198
7,70346,L,5054,1,1752975687309,30.10494,-91.00106,Entergy,2025-07-20 01:42:21.061198
8,70513,L,209,4,1752975687309,29.90649,-91.90976,Entergy,2025-07-20 01:42:21.061198
9,70546,L,6308,1,1752975687309,30.23529,-92.65886,Entergy,2025-07-20 01:42:21.061198
10,70560,L,5282,1,1752975687309,29.98533,-91.84989,Entergy,2025-07-20 01:42:21.061198
11,70761,L,299,49,1752975687309,30.97422,-91.07592,Entergy,2025-07-20 01:42:21.061198
12,70769,L,13781,2,1752975687309,30.31139,-90.94418,Entergy,2025-07-20 01:42:21.061198
13,70789,L,265,10,1752975687309,30.92639,-91.0866,Entergy,2025-07-20 01:42:21.061198
14,70805,L,10882,2,1752975687309,30.49101,-91.14945,Entergy,2025-07-20 01:42:21.061198
15,70806,L,15743,1,1752975687309,30.44784,-91.12812,Entergy,2025-07-20 01:42:21.061198
16,70808,L,18087,26,1752975687309,30.40982,-91.14754,Entergy,2025-07-20 01:42:21.061198
17,70810,L,22165,75,1752975687309,30.36238,-91.08926,Entergy,2025-07-20 01:42:21.061198
18,70814,L,5240,1,1752975687309,30.4824,-91.07228,Entergy,2025-07-20 01:42:21.061198
19,70816,L,17016,1,1752975687309,30.42356,-91.03448,Entergy,2025-07-20 01:42:21.061198
20,70817,L,12143,74,1752975687309,30.38227,-91.00252,Entergy,2025-07-20 01:42:21.061198
21,71001,L,2266,1,1752975687309,32.55611,-92.91578,Entergy,2025-07-20 01:42:21.061198
22,71008,L,629,1,1752975687309,32.36207,-92.97144,Entergy,2025-07-20 01:42:21.061198
23,71202,L,10862,1,1752975687309,32.44317,-92.09124,Entergy,2025-07-20 01:42:21.061198
24,71219,L,242,1,1752975687309,32.28501,-91.7293,Entergy,2025-07-20 01:42:21.061198
25,71230,L,207,2,1752975687309,32.24811,-91.58438,Entergy,2025-07-20 01:42:21.061198
26,71295,L,4624,30,1752975687309,32.1615,-91.70429,Entergy,2025-07-20 01:42:21.061198
27,71334,L,3565,1,1752975687309,31.63889,-91.55313,Entergy,2025-07-20 01:42:21.061198
28,71336,L,1086,1,1752975687309,32.04547,-91.65639,Entergy,2025-07-20 01:42:21.061198
29,71373,L,1182,1,1752975687309,31.56768,-91.4838,Entergy,2025-07-20 01:42:21.061198
30,71404,L,18,1,1752975687309,31.71321,-92.76233,Entergy,2025-07-20 01:42:21.061198
31,71435,L,1823,1,1752975687309,32.02729,-92.14029,Entergy,2025-07-20 01:42:21.061198
32,71483,L,2490,1,1752975687309,31.91955,-92.647,Entergy,2025-07-20 01:42:21.061198
33,OTHER,L,1,1,1752975687309,,,Entergy,2025-07-20 01:42:21.061198
