,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,70030,L,1979,1,1753006647362,29.81213,-90.451,Entergy,2025-07-20 10:18:14.084198
1,70070,L,5753,1,1753006647362,29.92437,-90.36795,Entergy,2025-07-20 10:18:14.084198
2,70346,L,5054,1,1753006647362,30.10494,-91.00106,Entergy,2025-07-20 10:18:14.084198
3,70560,L,5282,1,1753006647362,29.98533,-91.84989,Entergy,2025-07-20 10:18:14.084198
4,70806,L,15743,1,1753006647362,30.44784,-91.12812,Entergy,2025-07-20 10:18:14.084198
5,70810,L,22165,3,1753006647362,30.36238,-91.08926,Entergy,2025-07-20 10:18:14.084198
6,70814,L,5240,1,1753006647362,30.4824,-91.07228,Entergy,2025-07-20 10:18:14.084198
7,71203,L,19357,7,1753006647362,32.5353,-92.04635,Entergy,2025-07-20 10:18:14.084198
8,71235,L,2039,1,1753006647362,32.70061,-92.65658,Entergy,2025-07-20 10:18:14.084198
9,71373,L,1182,1,1753006647362,31.56768,-91.4838,Entergy,2025-07-20 10:18:14.084198
10,71418,L,4387,1,1753006647362,32.1351,-92.07445,Entergy,2025-07-20 10:18:14.084198
