,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,70030,L,1981,2,1753042647231,29.81213,-90.451,Entergy,2025-07-20 20:19:22.792624
1,70047,L,5274,1,1753042647231,29.9648,-90.37318,Entergy,2025-07-20 20:19:22.792624
2,70062,L,9494,7,1753042647231,29.99237,-90.24308,Entergy,2025-07-20 20:19:22.792624
3,70070,L,5767,1,1753042647231,29.92437,-90.36795,Entergy,2025-07-20 20:19:22.792624
4,70090,L,3564,168,1753042647231,29.97604,-90.69946,Entergy,2025-07-20 20:19:22.792624
5,70123,L,16672,1,1753042647231,29.9591,-90.20393,Entergy,2025-07-20 20:19:22.792624
6,70301,L,23157,16,1753042647231,29.79502,-90.81192,Entergy,2025-07-20 20:19:22.792624
7,70346,L,5057,1,1753042647231,30.10494,-91.00106,Entergy,2025-07-20 20:19:22.792624
8,70394,L,5994,1,1753042647231,29.71021,-90.58639,Entergy,2025-07-20 20:19:22.792624
9,70404,L,65,1,1753042647231,30.50416,-90.46141,Entergy,2025-07-20 20:19:22.792624
10,70560,L,5276,1,1753042647231,29.98533,-91.84989,Entergy,2025-07-20 20:19:22.792624
11,70737,L,20604,1,1753042647231,30.23743,-90.92211,Entergy,2025-07-20 20:19:22.792624
12,70744,L,1186,3,1753042647231,30.51527,-90.66676,Entergy,2025-07-20 20:19:22.792624
13,70769,L,13784,1,1753042647231,30.31139,-90.94418,Entergy,2025-07-20 20:19:22.792624
14,70775,L,1732,1,1753042647231,30.89314,-91.36463,Entergy,2025-07-20 20:19:22.792624
15,70802,L,12446,1,1753042647231,30.44612,-91.1716,Entergy,2025-07-20 20:19:22.792624
16,70806,L,15748,2,1753042647231,30.44784,-91.12812,Entergy,2025-07-20 20:19:22.792624
17,70810,L,22276,2,1753042647231,30.36238,-91.08926,Entergy,2025-07-20 20:19:22.792624
18,70814,L,5247,1,1753042647231,30.4824,-91.07228,Entergy,2025-07-20 20:19:22.792624
19,70816,L,17052,1,1753042647231,30.42356,-91.03448,Entergy,2025-07-20 20:19:22.792624
20,70817,L,12154,3,1753042647231,30.38227,-91.00252,Entergy,2025-07-20 20:19:22.792624
21,71040,L,2013,1,1753042647231,32.79265,-93.04299,Entergy,2025-07-20 20:19:22.792624
22,71334,L,3568,8,1753042647231,31.63889,-91.55313,Entergy,2025-07-20 20:19:22.792624
23,71373,L,1181,500,1753042647231,31.56768,-91.4838,Entergy,2025-07-20 20:19:22.792624
24,71483,L,2490,23,1753042647231,31.91955,-92.647,Entergy,2025-07-20 20:19:22.792624
25,OTHER,L,2,2,1753042647231,,,Entergy,2025-07-20 20:19:22.792624
