,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,70030,L,1981,2,1753093167486,29.81213,-90.451,Entergy,2025-07-21 10:20:21.955416
1,70070,L,5767,1,1753093167486,29.92437,-90.36795,Entergy,2025-07-21 10:20:21.955416
2,70346,L,5057,1,1753093167486,30.10494,-91.00106,Entergy,2025-07-21 10:20:21.955416
3,70394,L,5994,5,1753093167486,29.71021,-90.58639,Entergy,2025-07-21 10:20:21.955416
4,70560,L,5276,1,1753093167486,29.98533,-91.84989,Entergy,2025-07-21 10:20:21.955416
5,70808,L,18107,4,1753093167486,30.40982,-91.14754,Entergy,2025-07-21 10:20:21.955416
6,70810,L,22276,2,1753093167486,30.36238,-91.08926,Entergy,2025-07-21 10:20:21.955416
7,70814,L,5247,1,1753093167486,30.4824,-91.07228,Entergy,2025-07-21 10:20:21.955416
8,71203,L,19342,2,1753093167486,32.5353,-92.04635,Entergy,2025-07-21 10:20:21.955416
9,71264,L,771,1,1753093167486,32.61394,-91.77714,Entergy,2025-07-21 10:20:21.955416
10,71269,L,4503,40,1753093167486,32.46216,-91.75521,Entergy,2025-07-21 10:20:21.955416
