,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,70030,L,1981,15,1753147527385,29.81213,-90.451,Entergy,2025-07-22 01:26:32.251356
1,70037,L,7814,18,1753147527385,29.82797,-90.00612,Entergy,2025-07-22 01:26:32.251356
2,70041,L,1510,12,1753147527385,29.34413,-89.50051,Entergy,2025-07-22 01:26:32.251356
3,70049,L,1016,1,1753147527385,30.04645,-90.56182,Entergy,2025-07-22 01:26:32.251356
4,70065,L,22229,7,1753147527385,30.02063,-90.25046,Entergy,2025-07-22 01:26:32.251356
5,70070,L,5767,1,1753147527385,29.92437,-90.36795,Entergy,2025-07-22 01:26:32.251356
6,70083,L,1729,80,1753147527385,29.52884,-89.7649,Entergy,2025-07-22 01:26:32.251356
7,70114,L,10793,1,1753147527385,29.93201,-90.02746,Entergy,2025-07-22 01:26:32.251356
8,70128,L,7368,9,1753147527385,30.04885,-89.95628,Entergy,2025-07-22 01:26:32.251356
9,70131,L,11558,1,1753147527385,29.91693,-89.98767,Entergy,2025-07-22 01:26:32.251356
10,70346,L,5057,1,1753147527385,30.10494,-91.00106,Entergy,2025-07-22 01:26:32.251356
11,70358,L,2717,42,1753147527385,29.21972,-90.01997,Entergy,2025-07-22 01:26:32.251356
12,70395,L,2186,1,1753147527385,29.71902,-90.82822,Entergy,2025-07-22 01:26:32.251356
13,70559,L,692,4,1753147527385,30.11745,-92.49455,Entergy,2025-07-22 01:26:32.251356
14,70560,L,5276,1,1753147527385,29.98533,-91.84989,Entergy,2025-07-22 01:26:32.251356
15,70584,L,3155,6,1753147527385,30.40042,-92.08246,Entergy,2025-07-22 01:26:32.251356
16,70607,L,13590,1,1753147527385,30.1368,-93.19844,Entergy,2025-07-22 01:26:32.251356
17,70739,L,1089,1,1753147527385,30.54918,-90.99372,Entergy,2025-07-22 01:26:32.251356
18,70764,L,2829,400,1753147527385,30.26515,-91.2604,Entergy,2025-07-22 01:26:32.251356
19,70774,L,1056,3,1753147527385,30.23919,-90.83908,Entergy,2025-07-22 01:26:32.251356
20,70788,L,1952,1,1753147527385,30.15963,-91.16315,Entergy,2025-07-22 01:26:32.251356
21,70802,L,12446,12,1753147527385,30.44612,-91.1716,Entergy,2025-07-22 01:26:32.251356
22,70808,L,18107,1,1753147527385,30.40982,-91.14754,Entergy,2025-07-22 01:26:32.251356
23,70810,L,22276,1,1753147527385,30.36238,-91.08926,Entergy,2025-07-22 01:26:32.251356
24,70815,L,12822,1,1753147527385,30.45703,-91.06799,Entergy,2025-07-22 01:26:32.251356
25,70818,L,2964,1,1753147527385,30.54501,-91.04584,Entergy,2025-07-22 01:26:32.251356
26,71201,L,13491,6,1753147527385,32.52237,-92.10483,Entergy,2025-07-22 01:26:32.251356
27,71269,L,4503,2,1753147527385,32.46216,-91.75521,Entergy,2025-07-22 01:26:32.251356
28,71351,L,5648,13,1753147527385,31.13402,-92.07119,Entergy,2025-07-22 01:26:32.251356
29,OTHER,L,1,1,1753147527385,,,Entergy,2025-07-22 01:26:32.251356
