,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,70030,L,1981,15,1753179567306,29.81213,-90.451,Entergy,2025-07-22 10:19:56.797700
1,70070,L,5767,1,1753179567306,29.92437,-90.36795,Entergy,2025-07-22 10:19:56.797700
2,70346,L,5057,1,1753179567306,30.10494,-91.00106,Entergy,2025-07-22 10:19:56.797700
3,70395,L,2186,1,1753179567306,29.71902,-90.82822,Entergy,2025-07-22 10:19:56.797700
4,70403,L,15801,1,1753179567306,30.48397,-90.47833,Entergy,2025-07-22 10:19:56.797700
5,70560,L,5276,1,1753179567306,29.98533,-91.84989,Entergy,2025-07-22 10:19:56.797700
6,70767,L,7535,1,1753179567306,30.48924,-91.26587,Entergy,2025-07-22 10:19:56.797700
7,70774,L,1056,3,1753179567306,30.23919,-90.83908,Entergy,2025-07-22 10:19:56.797700
8,70791,L,6469,1,1753179567306,30.65331,-91.14963,Entergy,2025-07-22 10:19:56.797700
9,70810,L,22276,1,1753179567306,30.36238,-91.08926,Entergy,2025-07-22 10:19:56.797700
10,70812,L,3771,2,1753179567306,30.50383,-91.11509,Entergy,2025-07-22 10:19:56.797700
