,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,38632,M,13795,9,1752957567260,34.81929,-89.99467,Entergy,2025-07-19 20:40:03.263737
1,38737,M,1262,65,1752957567260,33.81211,-90.5291,Entergy,2025-07-19 20:40:03.263737
2,39046,M,10258,1,1752957567260,32.61025,-90.01947,Entergy,2025-07-19 20:40:03.263737
3,39056,M,13099,3,1752957567260,32.34746,-90.32415,Entergy,2025-07-19 20:40:03.263737
4,39059,M,4318,4,1752957567260,31.98759,-90.34964,Entergy,2025-07-19 20:40:03.263737
5,39157,M,15159,13,1752957567260,32.41771,-90.13496,Entergy,2025-07-19 20:40:03.263737
6,39170,M,4835,2,1752957567260,32.12449,-90.32042,Entergy,2025-07-19 20:40:03.263737
7,39180,M,15635,6,1752957567260,32.29153,-90.85439,Entergy,2025-07-19 20:40:03.263737
8,39645,M,1170,1,1752957567260,31.16462,-90.80817,Entergy,2025-07-19 20:40:03.263737
9,39667,M,1710,2,1752957567260,31.12261,-90.13936,Entergy,2025-07-19 20:40:03.263737
10,39669,M,1517,110,1752957567260,31.11944,-91.33087,Entergy,2025-07-19 20:40:03.263737
11,OTHER,M,2,2,1752957567260,,,Entergy,2025-07-19 20:40:03.263737
