,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,38632,M,13795,8,1752975687309,34.81929,-89.99467,Entergy,2025-07-20 01:42:24.425059
1,38664,M,996,4,1752975687309,34.82059,-90.29632,Entergy,2025-07-20 01:42:24.425059
2,38737,M,1262,10,1752975687309,33.81211,-90.5291,Entergy,2025-07-20 01:42:24.425059
3,39041,M,1714,27,1752975687309,32.39696,-90.45493,Entergy,2025-07-20 01:42:24.425059
4,39044,M,582,78,1752975687309,32.0194,-89.95914,Entergy,2025-07-20 01:42:24.425059
5,39066,M,2221,1,1752975687309,32.31083,-90.6138,Entergy,2025-07-20 01:42:24.425059
6,39097,M,284,1,1752975687309,32.96229,-90.59478,Entergy,2025-07-20 01:42:24.425059
7,39114,M,1932,26,1752975687309,31.96276,-89.82873,Entergy,2025-07-20 01:42:24.425059
8,39119,M,630,1,1752975687309,31.7637,-89.66361,Entergy,2025-07-20 01:42:24.425059
9,39120,M,11331,20,1752975687309,31.55832,-91.35712,Entergy,2025-07-20 01:42:24.425059
10,39180,M,15635,29,1752975687309,32.29153,-90.85439,Entergy,2025-07-20 01:42:24.425059
11,39183,M,5878,26,1752975687309,32.3882,-90.81591,Entergy,2025-07-20 01:42:24.425059
12,39212,M,11940,7,1752975687309,32.24771,-90.25779,Entergy,2025-07-20 01:42:24.425059
13,39272,M,6123,33,1752975687309,32.19375,-90.26983,Entergy,2025-07-20 01:42:24.425059
14,39645,M,1170,1,1752975687309,31.16462,-90.80817,Entergy,2025-07-20 01:42:24.425059
15,39647,M,586,4,1752975687309,31.48849,-90.69447,Entergy,2025-07-20 01:42:24.425059
16,39667,M,1710,2,1752975687309,31.12261,-90.13936,Entergy,2025-07-20 01:42:24.425059
17,OTHER,M,1,1,1752975687309,,,Entergy,2025-07-20 01:42:24.425059
