,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,39041,M,1714,31,1752921927309,32.39696,-90.45493,Entergy,2025-07-19 10:46:02.666292
1,39047,M,10048,33,1752921927309,32.37836,-89.99873,Entergy,2025-07-19 10:46:02.666292
2,39056,M,13099,1,1752921927309,32.34746,-90.32415,Entergy,2025-07-19 10:46:02.666292
3,39116,M,449,1,1752921927309,31.86777,-89.56243,Entergy,2025-07-19 10:46:02.666292
4,39180,M,15635,2,1752921927309,32.29153,-90.85439,Entergy,2025-07-19 10:46:02.666292
5,39645,M,1170,1,1752921927309,31.16462,-90.80817,Entergy,2025-07-19 10:46:02.666292
6,39667,M,1710,2,1752921927309,31.12261,-90.13936,Entergy,2025-07-19 10:46:02.666292
