,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,38672,M,4587,1,1753061967417,34.94227,-89.95324,Entergy,2025-07-21 01:40:19.030351
1,39042,M,11636,6,1753061967417,32.25413,-89.96423,Entergy,2025-07-21 01:40:19.030351
2,39095,M,1741,35,1753061967417,33.10018,-90.06266,Entergy,2025-07-21 01:40:19.030351
3,39120,M,11347,1,1753061967417,31.55832,-91.35712,Entergy,2025-07-21 01:40:19.030351
4,39146,M,889,3,1753061967417,32.88834,-89.97759,Entergy,2025-07-21 01:40:19.030351
5,39170,M,4837,56,1753061967417,32.12449,-90.32042,Entergy,2025-07-21 01:40:19.030351
6,39180,M,15650,2,1753061967417,32.29153,-90.85439,Entergy,2025-07-21 01:40:19.030351
7,39209,M,11622,14,1753061967417,32.32817,-90.26082,Entergy,2025-07-21 01:40:19.030351
8,39638,M,1631,1,1753061967417,31.19926,-91.0112,Entergy,2025-07-21 01:40:19.030351
9,39645,M,1169,1,1753061967417,31.16462,-90.80817,Entergy,2025-07-21 01:40:19.030351
10,39667,M,1712,2,1753061967417,31.12261,-90.13936,Entergy,2025-07-21 01:40:19.030351
11,OTHER,M,3,3,1753061967417,,,Entergy,2025-07-21 01:40:19.030351
