,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,38614,M,1024,1,1753179567306,34.19284,-90.57933,Entergy,2025-07-22 10:20:00.353665
1,38632,M,13796,6,1753179567306,34.81929,-89.99467,Entergy,2025-07-22 10:20:00.353665
2,38680,M,3289,1,1753179567306,34.95546,-90.12808,Entergy,2025-07-22 10:20:00.353665
3,39046,M,10261,8,1753179567306,32.61025,-90.01947,Entergy,2025-07-22 10:20:00.353665
4,39056,M,13112,36,1753179567306,32.34746,-90.32415,Entergy,2025-07-22 10:20:00.353665
5,39110,M,23157,1,1753179567306,32.48981,-90.12691,Entergy,2025-07-22 10:20:00.353665
6,39145,M,1647,2,1753179567306,32.32186,-89.79919,Entergy,2025-07-22 10:20:00.353665
7,39180,M,15650,2,1753179567306,32.29153,-90.85439,Entergy,2025-07-22 10:20:00.353665
8,39212,M,11950,3,1753179567306,32.24771,-90.25779,Entergy,2025-07-22 10:20:00.353665
9,39631,M,1914,3,1753179567306,31.0747,-91.08889,Entergy,2025-07-22 10:20:00.353665
10,39645,M,1169,1,1753179567306,31.16462,-90.80817,Entergy,2025-07-22 10:20:00.353665
11,39667,M,1712,2,1753179567306,31.12261,-90.13936,Entergy,2025-07-22 10:20:00.353665
12,39669,M,1518,132,1753179567306,31.11944,-91.33087,Entergy,2025-07-22 10:20:00.353665
