,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,38927,M,292,1,1753042647231,34.12085,-89.97646,Entergy,2025-07-20 20:19:26.273132
1,39047,M,10054,1,1753042647231,32.37836,-89.99873,Entergy,2025-07-20 20:19:26.273132
2,39175,M,1917,3,1753042647231,32.11252,-90.61849,Entergy,2025-07-20 20:19:26.273132
3,39180,M,15650,2,1753042647231,32.29153,-90.85439,Entergy,2025-07-20 20:19:26.273132
4,39183,M,5881,1,1753042647231,32.3882,-90.81591,Entergy,2025-07-20 20:19:26.273132
5,39202,M,4693,3,1753042647231,32.31316,-90.17569,Entergy,2025-07-20 20:19:26.273132
6,39212,M,11950,1,1753042647231,32.24771,-90.25779,Entergy,2025-07-20 20:19:26.273132
7,39638,M,1631,3,1753042647231,31.19926,-91.0112,Entergy,2025-07-20 20:19:26.273132
8,39645,M,1169,3,1753042647231,31.16462,-90.80817,Entergy,2025-07-20 20:19:26.273132
9,39667,M,1712,2,1753042647231,31.12261,-90.13936,Entergy,2025-07-20 20:19:26.273132
