,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,38654,M,1496,1,1752874227103,34.95263,-89.83811,Entergy,2025-07-18 21:31:07.685260
1,38726,M,243,3,1752874227103,33.76129,-90.96402,Entergy,2025-07-18 21:31:07.685260
2,38746,M,315,310,1752874227103,33.94545,-90.94579,Entergy,2025-07-18 21:31:07.685260
3,38756,M,958,1,1752874227103,33.40456,-90.89839,Entergy,2025-07-18 21:31:07.685260
4,38764,M,308,14,1752874227103,33.79714,-90.86767,Entergy,2025-07-18 21:31:07.685260
5,38768,M,122,2,1752874227103,33.96114,-90.47897,Entergy,2025-07-18 21:31:07.685260
6,38769,M,1173,184,1752874227103,33.85364,-91.02217,Entergy,2025-07-18 21:31:07.685260
7,38774,M,1030,3,1752874227103,33.95521,-90.76254,Entergy,2025-07-18 21:31:07.685260
8,39042,M,11629,1,1752874227103,32.25413,-89.96423,Entergy,2025-07-18 21:31:07.685260
9,39045,M,749,26,1752874227103,32.78181,-89.83867,Entergy,2025-07-18 21:31:07.685260
10,39046,M,10258,2,1752874227103,32.61025,-90.01947,Entergy,2025-07-18 21:31:07.685260
11,39051,M,2653,4,1752874227103,32.76198,-89.50652,Entergy,2025-07-18 21:31:07.685260
12,39059,M,4318,1,1752874227103,31.98759,-90.34964,Entergy,2025-07-18 21:31:07.685260
13,39073,M,5348,12,1752874227103,32.12856,-90.11806,Entergy,2025-07-18 21:31:07.685260
14,39090,M,2068,21,1752874227103,33.02358,-89.56855,Entergy,2025-07-18 21:31:07.685260
15,39120,M,11331,5,1752874227103,31.55832,-91.35712,Entergy,2025-07-18 21:31:07.685260
16,39175,M,1916,5,1752874227103,32.11252,-90.61849,Entergy,2025-07-18 21:31:07.685260
17,39176,M,858,2,1752874227103,33.31617,-89.72939,Entergy,2025-07-18 21:31:07.685260
18,39180,M,15635,56,1752874227103,32.29153,-90.85439,Entergy,2025-07-18 21:31:07.685260
19,39183,M,5878,16,1752874227103,32.3882,-90.81591,Entergy,2025-07-18 21:31:07.685260
20,39206,M,10907,9,1752874227103,32.36569,-90.17494,Entergy,2025-07-18 21:31:07.685260
21,39218,M,3624,3,1752874227103,32.22382,-90.15997,Entergy,2025-07-18 21:31:07.685260
22,39645,M,1170,1,1752874227103,31.16462,-90.80817,Entergy,2025-07-18 21:31:07.685260
23,39667,M,1710,2,1752874227103,31.12261,-90.13936,Entergy,2025-07-18 21:31:07.685260
24,OTHER,M,4,4,1752874227103,,,Entergy,2025-07-18 21:31:07.685260
