,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,38619,M,1343,17,1753093167486,34.52499,-89.8803,Entergy,2025-07-21 10:20:25.398221
1,38632,M,13796,58,1753093167486,34.81929,-89.99467,Entergy,2025-07-21 10:20:25.398221
2,38671,M,21271,2,1753093167486,34.96785,-89.99781,Entergy,2025-07-21 10:20:25.398221
3,39042,M,11636,21,1753093167486,32.25413,-89.96423,Entergy,2025-07-21 10:20:25.398221
4,39180,M,15650,2,1753093167486,32.29153,-90.85439,Entergy,2025-07-21 10:20:25.398221
5,39645,M,1169,1,1753093167486,31.16462,-90.80817,Entergy,2025-07-21 10:20:25.398221
6,39667,M,1712,2,1753093167486,31.12261,-90.13936,Entergy,2025-07-21 10:20:25.398221
7,OTHER,M,1,1,1753093167486,,,Entergy,2025-07-21 10:20:25.398221
