,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,38628,M,83,3,1753129107130,34.39345,-90.25522,Entergy,2025-07-21 20:20:03.072029
1,38632,M,13796,6,1753129107130,34.81929,-89.99467,Entergy,2025-07-21 20:20:03.072029
2,38671,M,21271,5,1753129107130,34.96785,-89.99781,Entergy,2025-07-21 20:20:03.072029
3,38774,M,1027,1,1753129107130,33.95521,-90.76254,Entergy,2025-07-21 20:20:03.072029
4,39090,M,2066,12,1753129107130,33.02358,-89.56855,Entergy,2025-07-21 20:20:03.072029
5,39115,M,56,1,1753129107130,33.1036,-90.4938,Entergy,2025-07-21 20:20:03.072029
6,39117,M,1709,1,1753129107130,32.33005,-89.67132,Entergy,2025-07-21 20:20:03.072029
7,39120,M,11347,3,1753129107130,31.55832,-91.35712,Entergy,2025-07-21 20:20:03.072029
8,39157,M,14900,1,1753129107130,32.41771,-90.13496,Entergy,2025-07-21 20:20:03.072029
9,39180,M,15650,3,1753129107130,32.29153,-90.85439,Entergy,2025-07-21 20:20:03.072029
10,39211,M,13290,3,1753129107130,32.378,-90.13089,Entergy,2025-07-21 20:20:03.072029
11,39212,M,11950,16,1753129107130,32.24771,-90.25779,Entergy,2025-07-21 20:20:03.072029
12,39232,M,6117,53,1753129107130,32.3404,-90.06563,Entergy,2025-07-21 20:20:03.072029
13,39601,M,8045,8,1753129107130,31.57434,-90.46337,Entergy,2025-07-21 20:20:03.072029
14,39645,M,1169,1,1753129107130,31.16462,-90.80817,Entergy,2025-07-21 20:20:03.072029
15,39667,M,1712,2,1753129107130,31.12261,-90.13936,Entergy,2025-07-21 20:20:03.072029
16,OTHER,M,1,1,1753129107130,,,Entergy,2025-07-21 20:20:03.072029
