state,county,customersServed,customersAffected,percentageWithPower,lastUpdatedTime,latitude,longitude,utility,time pulled,percentWithoutPower,date,time
L,PLAQUEMINES,13485,0,100.0,1753192167266,29.632186046511627,-89.81465116279071,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,POINTE COUPEE,5174,0,100.0,1753192167266,30.789189189189187,-91.64455598455598,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,RED RIVER,461,0,100.0,1753192167266,32.065892116182575,-93.20518672199172,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,RICHLAND,9153,0,100.0,1753192167266,32.37761255115962,-91.76414733969986,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,SABINE,90,0,100.0,1753192167266,31.50692307692308,-93.3553846153846,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,ST. BERNARD,22973,0,100.0,1753192167266,29.932934362934365,-89.76490347490348,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,ST. CHARLES,22949,17,100.0,1753192167266,29.84905511811024,-90.40023622047244,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,ST. HELENA,1824,0,100.0,1753192167266,30.80721712538226,-90.84807339449542,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,ST. JAMES,9929,0,100.0,1753192167266,29.958266666666667,-90.748,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,ST. JOHN THE BAPTIST,19415,0,100.0,1753192167266,30.092586206896552,-90.53577586206896,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,ST. LANDRY,11186,4,100.0,1753192167266,30.52764350453172,-92.05948640483383,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,ST. MARTIN,4992,0,100.0,1753192167266,30.25006134969325,-91.74659509202452,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,ST. TAMMANY,4187,0,100.0,1753192167266,30.39796178343949,-90.02031847133759,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,TANGIPAHOA,67858,3,100.0,1753192167266,30.60185393258427,-90.36870786516852,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,TENSAS,3613,1,100.0,1753192167266,32.045488372093025,-91.31625581395348,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,TERREBONNE,27487,6,100.0,1753192167266,29.472579505300352,-90.936925795053,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,UNION,3524,0,100.0,1753192167266,32.76151639344262,-92.28840163934426,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,VERMILION,8600,0,100.0,1753192167266,30.06782608695652,-92.4074154589372,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,VERNON,1802,0,100.0,1753192167266,31.185531914893616,-92.98851063829788,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,WEST BATON ROUGE,13528,0,100.0,1753192167266,30.50928571428572,-91.29169642857144,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,WEST CARROLL,2528,0,100.0,1753192167266,32.80550847457627,-91.43223163841807,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,WEST FELICIANA,1870,0,100.0,1753192167266,30.87159509202454,-91.41463190184048,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,WASHINGTON,8362,0,100.0,1753192167266,30.81416901408451,-89.98884507042254,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,WEBSTER,11535,0,100.0,1753192167266,32.75104651162791,-93.3486046511628,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,WINN,4748,0,100.0,1753192167266,31.94213043478261,-92.75565217391303,Entergy,2025-07-22 13:50:12.454612,0.0,2025-07-22,13:50
L,ACADIA,6698,2,100.0,1753192647258,30.216405750798724,-92.52246006389775,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ALLEN,155,0,100.0,1753192647258,30.60566176470588,-92.68816176470588,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ASCENSION,46593,4,100.0,1753192647258,30.258093385214007,-90.84015564202332,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ASSUMPTION,10498,0,100.0,1753192647258,29.852919254658385,-91.12534161490684,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,AVOYELLES,5751,3,100.0,1753192647258,31.22366515837104,-92.00380090497738,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,BEAUREGARD,7,0,100.0,1753192647258,30.51493670886076,-93.52405063291138,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,BIENVILLE,7373,1,100.0,1753192647258,32.30282122905028,-93.09335195530726,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,BOSSIER,40,0,100.0,1753192647258,32.62642228739003,-93.46624633431084,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
