,state,county,customersServed,customersAffected,percentageWithPower,lastUpdatedTime,latitude,longitude,utility,time pulled
0,L,ACADIA,6698,0,100.0,1753061967167,30.216405750798724,-92.52246006389775,Entergy,2025-07-21 01:40:16.832168
1,L,ALLEN,155,0,100.0,1753061967167,30.605661764705882,-92.68816176470588,Entergy,2025-07-21 01:40:16.832168
2,L,ASCENSION,46593,3,100.0,1753061967167,30.258093385214007,-90.84015564202333,Entergy,2025-07-21 01:40:16.832168
3,L,ASSUMPTION,10498,0,100.0,1753061967167,29.852919254658385,-91.12534161490683,Entergy,2025-07-21 01:40:16.832168
4,L,AVOYELLES,5751,0,100.0,1753061967167,31.22366515837104,-92.00380090497738,Entergy,2025-07-21 01:40:16.832168
5,L,BEAUREGARD,7,0,100.0,1753061967167,30.51493670886076,-93.52405063291138,Entergy,2025-07-21 01:40:16.832168
6,L,BIENVILLE,7373,0,100.0,1753061967167,32.30282122905028,-93.09335195530726,Entergy,2025-07-21 01:40:16.832168
7,L,BOSSIER,40,0,100.0,1753061967167,32.62642228739003,-93.46624633431084,Entergy,2025-07-21 01:40:16.832168
8,L,CALCASIEU,88383,0,100.0,1753061967167,30.221415384615383,-93.57326153846154,Entergy,2025-07-21 01:40:16.832168
9,L,CALDWELL,6270,0,100.0,1753061967167,32.13552,-91.95332,Entergy,2025-07-21 01:40:16.832168
10,L,CAMERON,1858,0,100.0,1753061967167,29.893855421686748,-93.4987951807229,Entergy,2025-07-21 01:40:16.832168
11,L,CATAHOULA,58,0,100.0,1753061967167,31.577897727272727,-91.82761363636364,Entergy,2025-07-21 01:40:16.832168
12,L,CLAIBORNE,4623,1,100.0,1753061967167,32.65868932038835,-92.98533980582523,Entergy,2025-07-21 01:40:16.832168
13,L,CONCORDIA,5110,0,100.0,1753061967167,31.40584051724138,-91.651875,Entergy,2025-07-21 01:40:16.832168
14,L,E. BATON ROUGE,189044,42,100.0,1753061967167,30.503923357664235,-90.9984306569343,Entergy,2025-07-21 01:40:16.832168
15,L,E. CARROLL,3404,0,100.0,1753061967167,32.777184986595174,-91.26310991957105,Entergy,2025-07-21 01:40:16.832168
16,L,E. FELICIANA,4354,0,100.0,1753061967167,30.8390780141844,-91.01302600472813,Entergy,2025-07-21 01:40:16.832168
17,L,FRANKLIN,7253,0,100.0,1753061967167,32.16216839677047,-91.68659746251441,Entergy,2025-07-21 01:40:16.832168
18,L,GRANT,1210,0,100.0,1753061967167,31.590555555555554,-92.48346560846561,Entergy,2025-07-21 01:40:16.832168
19,L,IBERIA,6197,1,100.0,1753061967167,29.968079470198678,-91.6541059602649,Entergy,2025-07-21 01:40:16.832168
20,L,IBERVILLE,9371,1,100.0,1753061967167,30.252775119617226,-91.38511961722489,Entergy,2025-07-21 01:40:16.832168
21,L,JACKSON,9085,0,100.0,1753061967167,32.21722972972973,-92.75439189189188,Entergy,2025-07-21 01:40:16.832168
22,L,JEFFERSON,217641,13,100.0,1753061967167,29.6015737704918,-90.08645901639343,Entergy,2025-07-21 01:40:16.832168
23,L,JEFFERSON DAVIS,12341,0,100.0,1753061967167,30.266525821596247,-92.66793427230047,Entergy,2025-07-21 01:40:16.832168
24,L,LA SALLE,5970,0,100.0,1753061967167,31.61041338582677,-92.25734251968504,Entergy,2025-07-21 01:40:16.832168
25,L,LAFAYETTE,17440,0,100.0,1753061967167,30.222664359861593,-92.08692041522491,Entergy,2025-07-21 01:40:16.832168
26,L,LAFOURCHE,43185,0,100.0,1753061967167,29.609287410926367,-90.40995249406176,Entergy,2025-07-21 01:40:16.832168
27,L,LINCOLN,9194,0,100.0,1753061967167,32.684820512820515,-92.74358974358974,Entergy,2025-07-21 01:40:16.832168
28,L,LIVINGSTON,24076,0,100.0,1753061967167,30.404145161290323,-90.7923064516129,Entergy,2025-07-21 01:40:16.832168
29,L,MADISON,5682,0,100.0,1753061967167,32.32744303797468,-91.32559493670887,Entergy,2025-07-21 01:40:16.832168
