,state,county,customersServed,customersAffected,percentageWithPower,lastUpdatedTime,latitude,longitude,utility,time pulled
0,L,ACADIA,6698,0,100.0,1753042646805,30.216405750798724,-92.52246006389775,Entergy,2025-07-20 20:19:24.036716
1,L,ALLEN,155,0,100.0,1753042646805,30.605661764705882,-92.68816176470588,Entergy,2025-07-20 20:19:24.036716
2,L,ASCENSION,46593,2,100.0,1753042646805,30.258093385214007,-90.84015564202333,Entergy,2025-07-20 20:19:24.036716
3,L,ASSUMPTION,10498,0,100.0,1753042646805,29.852919254658385,-91.12534161490683,Entergy,2025-07-20 20:19:24.036716
4,L,AVOYELLES,5751,0,100.0,1753042646805,31.22366515837104,-92.00380090497738,Entergy,2025-07-20 20:19:24.036716
5,L,BEAUREGARD,7,0,100.0,1753042646805,30.51493670886076,-93.52405063291138,Entergy,2025-07-20 20:19:24.036716
6,L,BIENVILLE,7373,0,100.0,1753042646805,32.30282122905028,-93.09335195530726,Entergy,2025-07-20 20:19:24.036716
7,L,BOSSIER,40,0,100.0,1753042646805,32.62642228739003,-93.46624633431084,Entergy,2025-07-20 20:19:24.036716
8,L,CALCASIEU,88383,0,100.0,1753042646805,30.221415384615383,-93.57326153846154,Entergy,2025-07-20 20:19:24.036716
9,L,CALDWELL,6270,0,100.0,1753042646805,32.13552,-91.95332,Entergy,2025-07-20 20:19:24.036716
10,L,CAMERON,1858,0,100.0,1753042646805,29.893855421686748,-93.4987951807229,Entergy,2025-07-20 20:19:24.036716
11,L,CATAHOULA,58,0,100.0,1753042646805,31.577897727272727,-91.82761363636364,Entergy,2025-07-20 20:19:24.036716
12,L,CLAIBORNE,4623,1,100.0,1753042646805,32.65868932038835,-92.98533980582523,Entergy,2025-07-20 20:19:24.036716
13,L,CONCORDIA,5110,510,90.0,1753042646805,31.40584051724138,-91.651875,Entergy,2025-07-20 20:19:24.036716
14,L,E. BATON ROUGE,189044,10,100.0,1753042646805,30.503923357664235,-90.9984306569343,Entergy,2025-07-20 20:19:24.036716
15,L,E. CARROLL,3404,0,100.0,1753042646805,32.777184986595174,-91.26310991957105,Entergy,2025-07-20 20:19:24.036716
16,L,E. FELICIANA,4354,0,100.0,1753042646805,30.8390780141844,-91.01302600472813,Entergy,2025-07-20 20:19:24.036716
17,L,FRANKLIN,7253,0,100.0,1753042646805,32.16216839677047,-91.68659746251441,Entergy,2025-07-20 20:19:24.036716
