,state,county,customersServed,customersAffected,percentageWithPower,lastUpdatedTime,latitude,longitude,utility,time pulled
42,L,ST. HELENA,1823,0,100.0,1752957507110,30.80721712538226,-90.84807339449542,Entergy,2025-07-19 20:40:00.980654
43,L,ST. JAMES,9923,1,100.0,1752957507110,29.958266666666667,-90.748,Entergy,2025-07-19 20:40:00.980654
44,L,ST. JOHN THE BAPTIST,19403,0,100.0,1752957507110,30.092586206896552,-90.53577586206896,Entergy,2025-07-19 20:40:00.980654
45,L,ST. LANDRY,11164,0,100.0,1752957507110,30.52764350453172,-92.05948640483383,Entergy,2025-07-19 20:40:00.980654
46,L,ST. MARTIN,4993,0,100.0,1752957507110,30.250061349693254,-91.74659509202453,Entergy,2025-07-19 20:40:00.980654
47,L,ST. TAMMANY,4182,0,100.0,1752957507110,30.397961783439495,-90.02031847133759,Entergy,2025-07-19 20:40:00.980654
48,L,TANGIPAHOA,67788,10,100.0,1752957507110,30.60185393258427,-90.36870786516853,Entergy,2025-07-19 20:40:00.980654
49,L,TENSAS,3614,0,100.0,1752957507110,32.045488372093025,-91.31625581395349,Entergy,2025-07-19 20:40:00.980654
50,L,TERREBONNE,27482,0,100.0,1752957507110,29.472579505300352,-90.93692579505301,Entergy,2025-07-19 20:40:00.980654
51,L,UNION,3531,0,100.0,1752957507110,32.76151639344262,-92.28840163934426,Entergy,2025-07-19 20:40:00.980654
52,L,VERMILION,8602,0,100.0,1752957507110,30.067826086956522,-92.4074154589372,Entergy,2025-07-19 20:40:00.980654
53,L,VERNON,1802,0,100.0,1752957507110,31.185531914893616,-92.98851063829787,Entergy,2025-07-19 20:40:00.980654
54,L,W. BATON ROUGE,13512,0,100.0,1752957507110,30.509285714285713,-91.29169642857143,Entergy,2025-07-19 20:40:00.980654
55,L,W. CARROLL,2532,0,100.0,1752957507110,32.80550847457627,-91.43223163841807,Entergy,2025-07-19 20:40:00.980654
56,L,W. FELICIANA,1869,0,100.0,1752957507110,30.87159509202454,-91.41463190184048,Entergy,2025-07-19 20:40:00.980654
57,L,WASHINGTON,8354,0,100.0,1752957507110,30.81416901408451,-89.98884507042254,Entergy,2025-07-19 20:40:00.980654
58,L,WEBSTER,11529,15,100.0,1752957507110,32.75104651162791,-93.3486046511628,Entergy,2025-07-19 20:40:00.980654
59,L,WINN,4748,0,100.0,1752957507110,31.94213043478261,-92.75565217391303,Entergy,2025-07-19 20:40:00.980654
